iter	Logloss
0	0.6250500247
1	0.5660807058
2	0.5176114421
3	0.4752317649
4	0.4406741027
5	0.4104452907
6	0.3851208697
7	0.3642049025
8	0.3458372491
9	0.3272033932
10	0.311820013
11	0.3008528817
12	0.2878156965
13	0.2793298279
14	0.2724005056
15	0.2657900962
16	0.2594521129
17	0.2524831952
18	0.247333184
19	0.242409724
20	0.2373626403
21	0.2336506714
22	0.2291893492
23	0.2259524023
24	0.2226871451
25	0.2198494088
26	0.2169868085
27	0.2143943884
28	0.2121923144
29	0.2098992979
30	0.2079381818
31	0.2063719501
32	0.2046450989
33	0.2030893817
34	0.2014260358
35	0.199785953
36	0.1984716125
37	0.1969184561
38	0.1953074568
39	0.1944237996
40	0.1928166832
41	0.191558562
42	0.1906557189
43	0.1896131835
44	0.1889838079
45	0.1877362889
46	0.1867303041
47	0.1859556567
48	0.1852010037
49	0.1840834329
50	0.1832032538
51	0.182295826
52	0.1813168607
53	0.1803658415
54	0.1796806244
55	0.1786623354
56	0.1781784825
57	0.1776281159
58	0.1769222623
59	0.1764588545
60	0.175815396
61	0.1753085378
62	0.1748389677
63	0.1741433974
64	0.1734827823
65	0.1727346725
66	0.1718574247
67	0.1711742284
68	0.1706403033
69	0.1700173158
70	0.1693764261
71	0.1690815634
72	0.1685442467
73	0.1679448646
74	0.1675264202
75	0.1668448121
76	0.1663384099
77	0.1659046513
78	0.1652559784
79	0.1646566562
80	0.1640911354
81	0.1635977394
82	0.1632634736
83	0.1628467023
84	0.1625094272
85	0.1620070305
86	0.1617379946
87	0.1612982502
88	0.1609072625
89	0.1604427415
90	0.1601526107
91	0.1596911156
92	0.1593747153
93	0.1587995399
94	0.1584084907
95	0.1579706033
96	0.1575301719
97	0.1572730573
98	0.1568600676
99	0.1566140128
100	0.1564215706
101	0.1561082047
102	0.1556642547
103	0.1554664763
104	0.1549769652
105	0.1548049389
106	0.1544675864
107	0.1541100687
108	0.1537905052
109	0.1533366264
110	0.1529316085
111	0.1525430529
112	0.1520868296
113	0.151774317
114	0.1515331144
115	0.1512844838
116	0.1509288408
117	0.1505934943
118	0.1501110798
119	0.1499191714
120	0.1493599298
121	0.1492053609
122	0.1489530065
123	0.1485142468
124	0.1480109824
125	0.1476818512
126	0.1475063997
127	0.1471663947
128	0.1467339896
129	0.1464256812
130	0.1462467578
131	0.1460310032
132	0.1455700939
133	0.1453244616
134	0.1449806927
135	0.1444836779
136	0.1440892158
137	0.1435954947
138	0.1433896153
139	0.1431909841
140	0.1426921699
141	0.142457233
142	0.1421414316
143	0.1420116058
144	0.141839791
145	0.1414822704
146	0.1410272628
147	0.1407020484
148	0.1405524353
149	0.1403527842
150	0.1402105656
151	0.139989665
152	0.1397712704
153	0.139564142
154	0.1393944276
155	0.1391160896
156	0.1388458245
157	0.1386571807
158	0.1383780529
159	0.1381863946
160	0.1380611341
161	0.1377581654
162	0.1376016252
163	0.1374065694
164	0.1371593818
165	0.1368481205
166	0.1367422539
167	0.1365255272
168	0.1362454281
169	0.136035103
170	0.1356042536
171	0.1353409009
172	0.1351076622
173	0.1348514623
174	0.1347538679
175	0.1345782853
176	0.1343986756
177	0.1340514317
178	0.1338670752
179	0.1336326553
180	0.1333663994
181	0.1331449398
182	0.1328212992
183	0.1326203243
184	0.1324634211
185	0.132250283
186	0.1320001092
187	0.1316896291
188	0.1314145293
189	0.1311137599
190	0.1308093965
191	0.130583999
192	0.13042708
193	0.1301649934
194	0.1299506154
195	0.1296329984
196	0.1294622238
197	0.1292542971
198	0.1290859334
199	0.1289121399
200	0.1287205883
201	0.1283494696
202	0.128041958
203	0.127781125
204	0.1275298816
205	0.1274566347
206	0.1272164145
207	0.12695032
208	0.1267049798
209	0.126507009
210	0.126233421
211	0.1260033473
212	0.1256544275
213	0.1254310406
214	0.1251626687
215	0.125105421
216	0.1249157906
217	0.1247123337
218	0.1244960484
219	0.1243954508
220	0.1242132213
221	0.1240041311
222	0.1236581818
223	0.1234440204
224	0.1232332019
225	0.1230330956
226	0.122857344
227	0.1226674493
228	0.1224717819
229	0.1222059675
230	0.122036336
231	0.1218534606
232	0.1217106882
233	0.121504136
234	0.1213387967
235	0.1210646905
236	0.1208111904
237	0.1205189168
238	0.1203621397
239	0.1201869785
240	0.1200026065
241	0.1198980103
242	0.1197404546
243	0.1194568943
244	0.1192906197
245	0.1190594137
246	0.1188503356
247	0.1186164149
248	0.1185017696
249	0.1182183438
250	0.1180118245
251	0.1178595405
252	0.1177822002
253	0.1175980125
254	0.1174493617
255	0.1172448551
256	0.117111405
257	0.1168673821
258	0.1166954213
259	0.1164829575
260	0.1163152356
261	0.1161559915
262	0.1160140284
263	0.1158476781
264	0.1157309744
265	0.11558958
266	0.1153414957
267	0.1151967199
268	0.1150459723
269	0.1149518013
270	0.1148311072
271	0.1146640896
272	0.1145609225
273	0.1143672546
274	0.1141466464
275	0.1139667186
276	0.1138635853
277	0.113807681
278	0.1136008481
279	0.1133618771
280	0.1131865843
281	0.1129788125
282	0.1128742829
283	0.112697544
284	0.1125911946
285	0.1124266897
286	0.1122599393
287	0.1121701574
288	0.1119563319
289	0.1117609022
290	0.1116520816
291	0.1114444495
292	0.1112653234
293	0.1110936071
294	0.1110598751
295	0.1109053073
296	0.1107550443
297	0.1106611376
298	0.1105149056
299	0.1104456376
300	0.110269505
301	0.1100975654
302	0.1099270143
303	0.1097723952
304	0.1096124025
305	0.1094931005
306	0.1092608517
307	0.1091062692
308	0.1089829278
309	0.1088686925
310	0.1087478705
311	0.1086006095
312	0.1085118862
313	0.1083017191
314	0.1082243399
315	0.1080842674
316	0.1080061199
317	0.1078563344
318	0.1077925602
319	0.1076899727
320	0.1075555251
321	0.1073970519
322	0.1073311838
323	0.1071658322
324	0.1069895197
325	0.106823339
326	0.1067511418
327	0.1066421784
328	0.1064846539
329	0.1063529816
330	0.1062292061
331	0.1060643234
332	0.1059684888
333	0.1058077714
334	0.1057873406
335	0.1056289646
336	0.1055043959
337	0.1053819003
338	0.105292381
339	0.1051033923
340	0.1049475838
341	0.1048010878
342	0.1045839246
343	0.104479054
344	0.1044224969
345	0.1042488026
346	0.1041022128
347	0.1039697091
348	0.1038418877
349	0.1037772469
350	0.1036932963
351	0.1035869342
352	0.1035172158
353	0.103365035
354	0.1032383726
355	0.1031235516
356	0.1031049541
357	0.1029388698
358	0.1027688637
359	0.1025876041
360	0.1024510546
361	0.1022884682
362	0.1021587261
363	0.1020401748
364	0.1018962261
365	0.101766985
366	0.1016776766
367	0.101492845
368	0.1014224268
369	0.101296863
370	0.1011426925
371	0.1010195189
372	0.1008729731
373	0.1007450127
374	0.1006448011
375	0.1005449556
376	0.1003759909
377	0.100303892
378	0.1001821948
379	0.1000693135
380	0.09997984051
381	0.09989658353
382	0.09977974869
383	0.09966801189
384	0.09953586941
385	0.09941912812
386	0.09936389256
387	0.09924180828
388	0.09916092059
389	0.09900894994
390	0.09887996528
391	0.09872038497
392	0.09861992241
393	0.09849863326
394	0.09842419608
395	0.09828376615
396	0.09820003035
397	0.09811241702
398	0.09799692783
399	0.09791513638
400	0.09786980464
401	0.09782690185
402	0.09774129027
403	0.09765495089
404	0.09752403801
405	0.09745080182
406	0.0973482978
407	0.09724414815
408	0.09708989801
409	0.09698346188
410	0.09685226183
411	0.09674415806
412	0.09658007642
413	0.0964793588
414	0.09636808903
415	0.09627004306
416	0.09624496779
417	0.09606497932
418	0.09602406269
419	0.09596053151
420	0.09581347044
421	0.09571457979
422	0.09561298317
423	0.09550475029
424	0.09547086097
425	0.0953596367
426	0.09525792346
427	0.09518914521
428	0.09506898942
429	0.09494870063
430	0.09486430236
431	0.09478971108
432	0.09469427616
433	0.09456690016
434	0.09444979755
435	0.09436698455
436	0.09426069242
437	0.09415512554
438	0.09401589764
439	0.09388685343
440	0.09378028445
441	0.09365546764
442	0.09350917664
443	0.09341690499
444	0.09332560266
445	0.09328842012
446	0.09319421667
447	0.09304367061
448	0.09289845923
449	0.09283116932
450	0.09273700656
451	0.09266005518
452	0.09254582237
453	0.09240953398
454	0.09233596072
455	0.09225351176
456	0.09219669183
457	0.09207066112
458	0.09200913012
459	0.09190549812
460	0.09175393542
461	0.09163866762
462	0.09153759011
463	0.09148373513
464	0.09133903732
465	0.09126178422
466	0.09117377778
467	0.09104133511
468	0.09094809288
469	0.09085231522
470	0.09071776636
471	0.0906490689
472	0.09059139276
473	0.09045923103
474	0.09037895277
475	0.0902483889
476	0.09015589416
477	0.09002745836
478	0.08990483613
479	0.08981714724
480	0.0897331892
481	0.08966719996
482	0.08960864021
483	0.08952265112
484	0.08946717583
485	0.08938653138
486	0.08926699467
487	0.08914358649
488	0.08901993575
489	0.08891041465
490	0.08883291059
491	0.0887075361
492	0.08860270865
493	0.08854373437
494	0.08846175721
495	0.08835805272
496	0.0882531902
497	0.08816231914
498	0.08805152822
499	0.08797661655
500	0.08790024164
501	0.08776981982
502	0.08770372805
503	0.08764183844
504	0.08756266858
505	0.08746842763
506	0.0874141953
507	0.08739792036
508	0.08733703085
509	0.08727253158
510	0.08722133997
511	0.08710654182
512	0.08703415759
513	0.08698551419
514	0.08691237201
515	0.08687352336
516	0.08676345797
517	0.08667842778
518	0.0865414462
519	0.08647584615
520	0.08640795167
521	0.0863553709
522	0.08627402035
523	0.08616814131
524	0.08611721842
525	0.08602182363
526	0.08592639626
527	0.08586315475
528	0.08575084716
529	0.08566658882
530	0.08560968462
531	0.08555773727
532	0.08547439428
533	0.08537497841
534	0.08527782755
535	0.08523236905
536	0.0851475825
537	0.08501741663
538	0.08488287335
539	0.08482689988
540	0.08477810485
541	0.08473131852
542	0.08460103219
543	0.08454558616
544	0.08448836698
545	0.0844131472
546	0.08433058069
547	0.08419032777
548	0.08411166663
549	0.08400418275
550	0.08390264282
551	0.08380255787
552	0.08376074114
553	0.08367245949
554	0.08365034477
555	0.08359153504
556	0.08350661232
557	0.08344877132
558	0.08336210167
559	0.08327501258
560	0.08322419257
561	0.08315487797
562	0.08311262485
563	0.08302679074
564	0.08297569531
565	0.08288805979
566	0.0828101452
567	0.0827251818
568	0.08264183386
569	0.08254721815
570	0.08248451168
571	0.08243306558
572	0.08238962749
573	0.08230737686
574	0.082190305
575	0.08210604815
576	0.08206709297
577	0.08199665372
578	0.08190533515
579	0.08181903736
580	0.08166609091
581	0.08162168608
582	0.08155023002
583	0.08148734082
584	0.08141520083
585	0.08135974631
586	0.08126863068
587	0.08121042661
588	0.08108297735
589	0.0810239942
590	0.08093190446
591	0.08084337018
592	0.08079794848
593	0.08073098914
594	0.08065288095
595	0.08062708351
596	0.08059170712
597	0.08055738808
598	0.08047839059
599	0.08037228212
600	0.08031959449
601	0.0802436491
602	0.08018278296
603	0.08010146715
604	0.07999474906
605	0.07987665533
606	0.07983462351
607	0.07975646686
608	0.07968200088
609	0.07964670718
610	0.07954304024
611	0.07952016331
612	0.07950361695
613	0.07944759414
614	0.07937694139
615	0.07929450403
616	0.07920761584
617	0.07916584567
618	0.07906385918
619	0.07901576726
620	0.07891042501
621	0.07879970673
622	0.07873181864
623	0.07865205255
624	0.07864162119
625	0.07859494043
626	0.07854577498
627	0.07843969233
628	0.0783626186
629	0.07828642162
630	0.07823281808
631	0.07813360438
632	0.07808122616
633	0.07802543246
634	0.07795641946
635	0.07789639932
636	0.07780346016
637	0.07770373121
638	0.07765094382
639	0.0775963562
640	0.07754011011
641	0.0775008006
642	0.07745598243
643	0.07737314845
644	0.07730085137
645	0.0772070994
646	0.07711889031
647	0.07708469333
648	0.07703112029
649	0.07692929842
650	0.07685956758
651	0.07677177674
